condition,source_type,receiver_type,coupling
SVTuner,Epithelial cells,PVL,0.0
SVTuner,Epithelial cells,Plasma cells,0.0
SVTuner,Epithelial cells,T-cells,0.0
SVTuner,Epithelial cells,Abstained,0.0004409171075837742
SVTuner,Fibroblasts,B cells,0.004115226337448559
SVTuner,Fibroblasts,CD4 T cells,0.004409171075837741
SVTuner,Fibroblasts,CD8 T cells,0.0038212815990593756
SVTuner,Fibroblasts,Endothelial cells,0.005633940819126003
SVTuner,Fibroblasts,Epithelial cells,0.0005878894767783658
SVTuner,Fibroblasts,Fibroblasts,0.009112286890064668
SVTuner,Fibroblasts,Monocytes and Macrophages,0.0021066039584558107
SVTuner,Fibroblasts,NK cells,0.005046051342347639
SVTuner,Fibroblasts,PVL,0.006564765824025083
SVTuner,Fibroblasts,Plasma cells,0.0
SVTuner,Fibroblasts,T-cells,0.0004899078973153048
SVTuner,Fibroblasts,Abstained,0.003086419753086419
SVTuner,Monocytes and Macrophages,B cells,0.002155594748187341
SVTuner,Monocytes and Macrophages,CD4 T cells,0.0019596315892612187
SVTuner,Monocytes and Macrophages,CD8 T cells,0.0019596315892612187
SVTuner,Monocytes and Macrophages,Endothelial cells,0.000832843425436018
SVTuner,Monocytes and Macrophages,Epithelial cells,4.899078973153047e-05
SVTuner,Monocytes and Macrophages,Fibroblasts,0.0022535763276504014
SVTuner,Monocytes and Macrophages,Monocytes and Macrophages,0.013619439545365472
SVTuner,Monocytes and Macrophages,NK cells,0.0022535763276504014
SVTuner,Monocytes and Macrophages,PVL,0.0004899078973153048
SVTuner,Monocytes and Macrophages,Plasma cells,0.0
SVTuner,Monocytes and Macrophages,T-cells,0.0004409171075837742
SVTuner,Monocytes and Macrophages,Abstained,0.006613756613756613
SVTuner,NK cells,B cells,0.010092102684695275
SVTuner,NK cells,CD4 T cells,0.008279443464628649
SVTuner,NK cells,CD8 T cells,0.00832843425436018
SVTuner,NK cells,Endothelial cells,0.00622183029590437
SVTuner,NK cells,Epithelial cells,0.0003919263178522438
SVTuner,NK cells,Fibroblasts,0.006564765824025083
SVTuner,NK cells,Monocytes and Macrophages,0.004262198706643151
SVTuner,NK cells,NK cells,0.007593572408387221
SVTuner,NK cells,PVL,0.004605134234763864
SVTuner,NK cells,Plasma cells,0.0
SVTuner,NK cells,T-cells,0.0017146776406035662
SVTuner,NK cells,Abstained,0.005437977660199882
SVTuner,PVL,B cells,0.002547521066039584
SVTuner,PVL,CD4 T cells,0.0024005486968449925
SVTuner,PVL,CD8 T cells,0.0018126592200666273
SVTuner,PVL,Endothelial cells,0.0035763276504017236
SVTuner,PVL,Epithelial cells,0.0008818342151675485
SVTuner,PVL,Fibroblasts,0.00524201450127376
SVTuner,PVL,Monocytes and Macrophages,0.0009798157946306093
SVTuner,PVL,NK cells,0.0021066039584558107
SVTuner,PVL,PVL,0.004752106603958455
SVTuner,PVL,Plasma cells,0.0
SVTuner,PVL,T-cells,0.0002449539486576524
SVTuner,PVL,Abstained,0.0010288065843621398
SVTuner,Plasma cells,B cells,0.0
SVTuner,Plasma cells,CD4 T cells,0.0
SVTuner,Plasma cells,CD8 T cells,0.0
SVTuner,Plasma cells,Endothelial cells,0.0
SVTuner,Plasma cells,Epithelial cells,0.0
SVTuner,Plasma cells,Fibroblasts,0.0
SVTuner,Plasma cells,Monocytes and Macrophages,0.0
SVTuner,Plasma cells,NK cells,0.0
SVTuner,Plasma cells,PVL,0.0
SVTuner,Plasma cells,Plasma cells,0.0
SVTuner,Plasma cells,T-cells,0.0
SVTuner,Plasma cells,Abstained,0.0
SVTuner,T-cells,B cells,0.000930825004899079
SVTuner,T-cells,CD4 T cells,0.0005878894767783658
SVTuner,T-cells,CD8 T cells,0.0010777973740936702
SVTuner,T-cells,Endothelial cells,0.0010777973740936705
SVTuner,T-cells,Epithelial cells,4.899078973153047e-05
SVTuner,T-cells,Fibroblasts,0.0009798157946306096
SVTuner,T-cells,Monocytes and Macrophages,0.0002449539486576524
SVTuner,T-cells,NK cells,0.0005878894767783658
SVTuner,T-cells,PVL,0.0006368802665098961
SVTuner,T-cells,Plasma cells,0.0
SVTuner,T-cells,T-cells,0.0
SVTuner,T-cells,Abstained,0.0
SVTuner,Abstained,B cells,0.03468547912992357
SVTuner,Abstained,CD4 T cells,0.031452087007642564
SVTuner,Abstained,CD8 T cells,0.03189300411522634
SVTuner,Abstained,Endothelial cells,0.021898883009994118
SVTuner,Abstained,Epithelial cells,0.0033803644914756023
SVTuner,Abstained,Fibroblasts,0.027630805408583186
SVTuner,Abstained,Monocytes and Macrophages,0.02469135802469136
SVTuner,Abstained,NK cells,0.03130511463844796
SVTuner,Abstained,PVL,0.02189888300999412
SVTuner,Abstained,Plasma cells,0.0
SVTuner,Abstained,T-cells,0.006613756613756613
SVTuner,Abstained,Abstained,0.37566137566137564
