Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Hematoxylin OD mean,Nucleus: Hematoxylin OD sum,Nucleus: Hematoxylin OD std dev,Nucleus: Hematoxylin OD max,Nucleus: Hematoxylin OD min,Nucleus: Hematoxylin OD range,Nucleus: Eosin OD mean,Nucleus: Eosin OD sum,Nucleus: Eosin OD std dev,Nucleus: Eosin OD max,Nucleus: Eosin OD min,Nucleus: Eosin OD range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: Hematoxylin OD mean,Cell: Hematoxylin OD std dev,Cell: Hematoxylin OD max,Cell: Hematoxylin OD min,Cell: Eosin OD mean,Cell: Eosin OD std dev,Cell: Eosin OD max,Cell: Eosin OD min,Cytoplasm: Hematoxylin OD mean,Cytoplasm: Hematoxylin OD std dev,Cytoplasm: Hematoxylin OD max,Cytoplasm: Hematoxylin OD min,Cytoplasm: Eosin OD mean,Cytoplasm: Eosin OD std dev,Cytoplasm: Eosin OD max,Cytoplasm: Eosin OD min,Nucleus/Cell area ratio,Smoothed: 25 µm: Nucleus: Area,Smoothed: 25 µm: Nucleus: Perimeter,Smoothed: 25 µm: Nucleus: Circularity,Smoothed: 25 µm: Nucleus: Max caliper,Smoothed: 25 µm: Nucleus: Min caliper,Smoothed: 25 µm: Nucleus: Eccentricity,Smoothed: 25 µm: Nucleus: Hematoxylin OD mean,Smoothed: 25 µm: Nucleus: Hematoxylin OD sum,Smoothed: 25 µm: Nucleus: Hematoxylin OD std dev,Smoothed: 25 µm: Nucleus: Hematoxylin OD max,Smoothed: 25 µm: Nucleus: Hematoxylin OD min,Smoothed: 25 µm: Nucleus: Hematoxylin OD range,Smoothed: 25 µm: Nucleus: Eosin OD mean,Smoothed: 25 µm: Nucleus: Eosin OD sum,Smoothed: 25 µm: Nucleus: Eosin OD std dev,Smoothed: 25 µm: Nucleus: Eosin OD max,Smoothed: 25 µm: Nucleus: Eosin OD min,Smoothed: 25 µm: Nucleus: Eosin OD range,Smoothed: 25 µm: Cell: Area,Smoothed: 25 µm: Cell: Perimeter,Smoothed: 25 µm: Cell: Circularity,Smoothed: 25 µm: Cell: Max caliper,Smoothed: 25 µm: Cell: Min caliper,Smoothed: 25 µm: Cell: Eccentricity,Smoothed: 25 µm: Cell: Hematoxylin OD mean,Smoothed: 25 µm: Cell: Hematoxylin OD std dev,Smoothed: 25 µm: Cell: Hematoxylin OD max,Smoothed: 25 µm: Cell: Hematoxylin OD min,Smoothed: 25 µm: Cell: Eosin OD mean,Smoothed: 25 µm: Cell: Eosin OD std dev,Smoothed: 25 µm: Cell: Eosin OD max,Smoothed: 25 µm: Cell: Eosin OD min,Smoothed: 25 µm: Cytoplasm: Hematoxylin OD mean,Smoothed: 25 µm: Cytoplasm: Hematoxylin OD std dev,Smoothed: 25 µm: Cytoplasm: Hematoxylin OD max,Smoothed: 25 µm: Cytoplasm: Hematoxylin OD min,Smoothed: 25 µm: Cytoplasm: Eosin OD mean,Smoothed: 25 µm: Cytoplasm: Eosin OD std dev,Smoothed: 25 µm: Cytoplasm: Eosin OD max,Smoothed: 25 µm: Cytoplasm: Eosin OD min,Smoothed: 25 µm: Nucleus/Cell area ratio,Smoothed: 25 µm: Nearby detection counts,Smoothed: 50 µm: Nucleus: Area,Smoothed: 50 µm: Nucleus: Perimeter,Smoothed: 50 µm: Nucleus: Circularity,Smoothed: 50 µm: Nucleus: Max caliper,Smoothed: 50 µm: Nucleus: Min caliper,Smoothed: 50 µm: Nucleus: Eccentricity,Smoothed: 50 µm: Nucleus: Hematoxylin OD mean,Smoothed: 50 µm: Nucleus: Hematoxylin OD sum,Smoothed: 50 µm: Nucleus: Hematoxylin OD std dev,Smoothed: 50 µm: Nucleus: Hematoxylin OD max,Smoothed: 50 µm: Nucleus: Hematoxylin OD min,Smoothed: 50 µm: Nucleus: Hematoxylin OD range,Smoothed: 50 µm: Nucleus: Eosin OD mean,Smoothed: 50 µm: Nucleus: Eosin OD sum,Smoothed: 50 µm: Nucleus: Eosin OD std dev,Smoothed: 50 µm: Nucleus: Eosin OD max,Smoothed: 50 µm: Nucleus: Eosin OD min,Smoothed: 50 µm: Nucleus: Eosin OD range,Smoothed: 50 µm: Cell: Area,Smoothed: 50 µm: Cell: Perimeter,Smoothed: 50 µm: Cell: Circularity,Smoothed: 50 µm: Cell: Max caliper,Smoothed: 50 µm: Cell: Min caliper,Smoothed: 50 µm: Cell: Eccentricity,Smoothed: 50 µm: Cell: Hematoxylin OD mean,Smoothed: 50 µm: Cell: Hematoxylin OD std dev,Smoothed: 50 µm: Cell: Hematoxylin OD max,Smoothed: 50 µm: Cell: Hematoxylin OD min,Smoothed: 50 µm: Cell: Eosin OD mean,Smoothed: 50 µm: Cell: Eosin OD std dev,Smoothed: 50 µm: Cell: Eosin OD max,Smoothed: 50 µm: Cell: Eosin OD min,Smoothed: 50 µm: Cytoplasm: Hematoxylin OD mean,Smoothed: 50 µm: Cytoplasm: Hematoxylin OD std dev,Smoothed: 50 µm: Cytoplasm: Hematoxylin OD max,Smoothed: 50 µm: Cytoplasm: Hematoxylin OD min,Smoothed: 50 µm: Cytoplasm: Eosin OD mean,Smoothed: 50 µm: Cytoplasm: Eosin OD std dev,Smoothed: 50 µm: Cytoplasm: Eosin OD max,Smoothed: 50 µm: Cytoplasm: Eosin OD min,Smoothed: 50 µm: Nucleus/Cell area ratio,Smoothed: 50 µm: Nearby detection counts
Cell_200616_BC-SA2_V10F24-112_KT.C1-Spot000001.tif (1),f20d2689-af21-4156-9551-9691f7923db4,Cell,,Tumor,Annotation,Polygon,6334.2,2436.4,33.75,25.9664,0.629,8.7156,6.5151,0.6705,0.5416,75.8303,0.1393,0.8325,0.2856,0.5469,0.4314,60.3909,0.1972,0.8749,0.1773,0.6976,180.0,54.018,0.7752,18.7144,14.5282,0.5914,0.2629,0.1854,0.8325,0.0298,0.5157,0.2832,1.0896,0.0817,0.1959,0.1217,0.7756,0.0298,0.536,0.2968,1.0896,0.0817,0.1861,40.6328,28.8286,0.6126,10.5705,6.3924,0.7625,0.6127,111.0192,0.1469,0.9213,0.3202,0.6012,0.3848,64.0344,0.157,0.7776,0.1387,0.6388,167.6167,51.0161,0.7967,18.5008,12.9627,0.6893,0.3247,0.218,0.9213,0.0346,0.4376,0.2361,0.9639,0.0563,0.2236,0.1366,0.7698,0.0346,0.4559,0.2518,0.9639,0.0825,0.2444,5,42.0702,28.362,0.6722,10.4914,6.0939,0.7686,0.5503,104.9547,0.1178,0.8137,0.3049,0.5087,0.2808,50.3984,0.1037,0.5483,0.0903,0.4581,157.3097,48.1828,0.8243,17.6547,11.9981,0.6961,0.3053,0.1911,0.8137,0.0372,0.3062,0.1542,0.7069,0.0432,0.2057,0.11,0.5857,0.0372,0.3207,0.1628,0.7069,0.0754,0.2713,19
Cell_200616_BC-SA2_V10F24-112_KT.C1-Spot000001.tif (1),2caabd88-235d-48a7-bcf1-1ec7e7365261,Cell,,Stroma,Annotation,Polygon,6338.7,2447.2,33.75,28.6241,0.5176,11.7171,5.884,0.9122,0.6548,89.7081,0.164,0.9338,0.3428,0.591,0.4385,60.0755,0.1463,0.8875,0.229,0.6585,152.0,48.0402,0.8276,18.2601,12.5,0.7378,0.3321,0.2377,0.9338,0.0234,0.4708,0.2589,1.001,0.0723,0.2388,0.1619,0.9246,0.0234,0.4801,0.2826,1.001,0.0723,0.2208,33.6653,25.2956,0.6757,9.4451,5.8752,0.7346,0.5316,77.0077,0.1177,0.7698,0.3018,0.468,0.3222,44.0995,0.1173,0.6401,0.1475,0.4925,142.4076,46.4335,0.8211,17.1945,11.8735,0.7038,0.2876,0.1828,0.7698,0.0352,0.3474,0.1846,0.7889,0.0644,0.2039,0.1156,0.6502,0.0352,0.3594,0.1972,0.7889,0.0726,0.2405,7,39.084,27.17,0.6898,10.1435,5.8511,0.7652,0.5052,87.8326,0.1061,0.7413,0.2873,0.454,0.252,41.2104,0.0896,0.4854,0.0917,0.3937,150.2938,47.1506,0.8232,17.3419,11.6901,0.6956,0.2814,0.1722,0.7414,0.0389,0.2706,0.1332,0.6274,0.0476,0.1924,0.0981,0.5306,0.0389,0.2828,0.1398,0.6274,0.072,0.2654,23
Cell_200616_BC-SA2_V10F24-112_KT.C1-Spot000001.tif (1),2765468d-f458-4b77-8eb4-a6e168dabb72,Cell,,Stroma,Annotation,Polygon,6329.3,2461.7,16.0,16.6987,0.721,6.906,3.4611,0.8716,0.3519,23.928,0.0618,0.5071,0.2278,0.2793,0.2201,14.9651,0.0997,0.4235,0.0667,0.3568,96.0,36.8383,0.889,13.9803,9.3014,0.745,0.164,0.1209,0.5071,0.0136,0.1867,0.1065,0.4903,0.049,0.1237,0.0879,0.354,0.0136,0.1795,0.1067,0.4903,0.049,0.1647,31.6873,24.8449,0.6837,9.8048,4.9447,0.7784,0.4115,58.8969,0.0889,0.6189,0.2446,0.3743,0.2554,32.1966,0.0941,0.4801,0.1042,0.3759,154.1352,46.7706,0.8559,17.5012,11.69,0.7068,0.2042,0.1396,0.6189,0.0169,0.2355,0.1258,0.5794,0.0506,0.1495,0.0884,0.4575,0.0169,0.2321,0.1306,0.5794,0.054,0.1924,5,38.736,27.9402,0.6739,10.8293,5.5066,0.7936,0.4796,80.1411,0.1053,0.7223,0.2692,0.4532,0.2412,37.4606,0.0816,0.4452,0.091,0.3542,158.1379,48.369,0.8131,17.955,11.6808,0.7124,0.2576,0.1653,0.7229,0.0323,0.2515,0.1179,0.5727,0.0489,0.175,0.0924,0.4976,0.0323,0.2601,0.122,0.5727,0.0715,0.2527,31
Cell_200616_BC-SA2_V10F24-112_KT.C1-Spot000001.tif (1),0ce01c80-16f6-4474-94a8-42a8d7bd06fe,Cell,,Stroma,Annotation,Polygon,6290.6,2464.1,13.0,13.6714,0.874,5.3331,3.342,0.7352,0.4378,24.5184,0.087,0.5541,0.2394,0.3148,0.3243,18.1599,0.045,0.4297,0.26,0.1697,107.0,38.7034,0.8976,13.131,10.9324,0.5409,0.1866,0.1188,0.5541,0.0277,0.313,0.1068,0.6551,0.1033,0.1492,0.0655,0.4191,0.0277,0.3114,0.1131,0.6551,0.1033,0.1178,25.102,19.5224,0.7711,7.6198,4.2914,0.8021,0.511,61.3545,0.111,0.7105,0.2646,0.4459,0.2548,28.3837,0.0701,0.4181,0.1412,0.2769,131.2047,43.8114,0.8513,15.6173,11.4114,0.6619,0.2441,0.1729,0.7216,0.0133,0.2513,0.1085,0.5829,0.0512,0.1694,0.1019,0.5332,0.0133,0.2524,0.1144,0.5829,0.0514,0.1811,5,29.572,22.9002,0.7016,8.9908,4.5628,0.8349,0.5357,68.4447,0.1219,0.789,0.2876,0.5015,0.248,31.5389,0.0842,0.4413,0.0984,0.3429,143.5879,45.7125,0.831,16.602,11.421,0.6868,0.2647,0.188,0.7985,0.012,0.2468,0.1198,0.5975,0.0415,0.1804,0.1119,0.5793,0.012,0.2504,0.1241,0.5975,0.05,0.2068,13
Cell_200616_BC-SA2_V10F24-112_KT.C1-Spot000001.tif (1),d8dea968-0f65-498e-9b6d-66c29be45074,Cell,,Stroma,Annotation,Polygon,6275.0,2466.3,11.25,14.7537,0.6495,6.1938,2.6755,0.8806,0.3029,14.8411,0.081,0.4505,0.1558,0.2948,0.0616,3.0162,0.0271,0.0975,-0.0017,0.0992,148.25,44.6977,0.9325,16.2201,11.2193,0.7094,0.111,0.1249,0.5276,-0.0195,0.0521,0.0465,0.2324,-0.0438,0.0939,0.1132,0.5276,-0.0195,0.0512,0.0478,0.2324,-0.0438,0.0756,20.8738,18.8486,0.6851,7.6386,3.6502,0.8658,0.5063,53.9348,0.119,0.7338,0.2668,0.467,0.2048,22.5409,0.0768,0.3732,0.0753,0.2979,127.5897,43.4466,0.849,15.5305,11.0389,0.6805,0.2406,0.1837,0.7645,-0.0023,0.2052,0.1127,0.5417,0.0172,0.1696,0.1219,0.5692,-0.0023,0.2077,0.1184,0.5417,0.0182,0.1662,5,25.5643,21.0487,0.7031,8.2854,4.2423,0.8425,0.5716,65.136,0.1308,0.8423,0.3085,0.5338,0.2541,29.3191,0.0896,0.4559,0.0934,0.3625,130.0858,43.8946,0.8282,15.8609,11.0182,0.6833,0.2822,0.2025,0.859,0.0095,0.2541,0.1287,0.6299,0.0392,0.1925,0.1235,0.6326,0.0095,0.2589,0.1334,0.6299,0.0463,0.2029,11
Cell_200616_BC-SA2_V10F24-112_KT.C1-Spot000001.tif (1),a059456a-4e7c-4414-9c68-31f1b67a5790,Cell,,Stroma,Annotation,Polygon,6286.3,2475.3,52.5,31.4302,0.6678,12.1508,6.5938,0.8595,0.8392,177.9048,0.1965,1.2225,0.3834,0.8392,0.352,74.6201,0.13,0.6538,0.1305,0.5233,145.25,52.2748,0.6679,19.2977,12.5165,0.8299,0.4877,0.3155,1.2225,0.0393,0.3703,0.1488,0.7804,0.055,0.2895,0.1577,0.7265,0.0393,0.3806,0.1576,0.7804,0.055,0.3581,27.3627,21.5757,0.7081,8.5703,4.3762,0.848,0.5972,77.0405,0.1349,0.8656,0.3124,0.5532,0.2674,33.8814,0.0967,0.4899,0.1036,0.3863,122.956,43.961,0.8018,15.9042,11.0211,0.6988,0.3022,0.2129,0.875,0.0096,0.2696,0.1303,0.6477,0.0451,0.2014,0.1255,0.6123,0.0096,0.2739,0.1358,0.6477,0.0477,0.2193,7,27.857,22.5406,0.6918,8.8864,4.4386,0.843,0.5777,69.4713,0.1331,0.8607,0.3122,0.5486,0.2562,31.0286,0.0923,0.4668,0.0885,0.3783,132.53,44.4301,0.8168,16.2124,10.9633,0.6923,0.2899,0.2044,0.8701,0.0144,0.2564,0.1274,0.6249,0.0412,0.1955,0.1212,0.6294,0.0144,0.2617,0.1307,0.6249,0.0536,0.2184,17
Cell_200616_BC-SA2_V10F24-112_KT.C1-Spot000001.tif (1),a3a376ae-dbdb-4010-91b4-14bceca3a440,Cell,,Immune cells,Annotation,Polygon,6277.7,2477.8,19.0,19.373,0.6362,8.1404,3.2797,0.9358,0.6169,48.1208,0.1416,0.8894,0.3547,0.5346,0.2363,18.4303,0.1405,0.5698,0.0495,0.5203,97.25,38.4746,0.8256,13.1929,9.7906,0.6222,0.2908,0.2159,0.8894,-0.0286,0.2381,0.2045,0.7939,0.0173,0.2098,0.1421,0.5728,-0.0286,0.2385,0.2176,0.7939,0.0173,0.19,25.5594,21.4696,0.6706,8.585,4.0991,0.8751,0.6284,73.3307,0.1452,0.9327,0.3417,0.591,0.2764,32.5829,0.1053,0.5141,0.0908,0.4233,117.7545,42.969,0.7953,15.4225,10.7882,0.6788,0.322,0.2246,0.9436,0.0077,0.286,0.1448,0.6946,0.0472,0.2172,0.1351,0.646,0.0077,0.2937,0.1504,0.6946,0.0533,0.2227,8,26.1195,21.6718,0.6951,8.5084,4.3387,0.8426,0.6022,68.2045,0.1392,0.899,0.3271,0.5719,0.2637,30.346,0.0965,0.4821,0.0877,0.3945,126.7211,43.5656,0.8169,15.8545,10.7978,0.6886,0.302,0.2133,0.9115,0.0143,0.2654,0.1342,0.6509,0.0419,0.2039,0.1274,0.6666,0.0143,0.2718,0.1378,0.6509,0.0541,0.2176,17
Cell_200616_BC-SA2_V10F24-112_KT.C1-Spot000001.tif (1),ee433628-e426-4468-bda6-49605b5e2e08,Cell,,Immune cells,Annotation,Polygon,6277.7,2488.1,24.0,23.4035,0.5506,9.4321,3.3487,0.9415,0.7894,82.0973,0.1843,1.2529,0.479,0.7738,0.4637,48.2212,0.1109,0.6935,0.1725,0.521,89.25,40.5058,0.6836,13.7519,11.4219,0.4978,0.4469,0.2669,1.2529,0.0433,0.538,0.1381,0.8703,0.1725,0.3088,0.1407,0.6393,0.0433,0.568,0.1369,0.8703,0.1873,0.2775,25.4882,22.0878,0.6617,8.6937,4.2293,0.871,0.6955,74.2785,0.162,1.0573,0.3915,0.6658,0.3183,34.6977,0.117,0.5804,0.0949,0.4855,111.828,41.9709,0.7749,15.3176,10.2088,0.6884,0.3679,0.2457,1.0596,0.0207,0.3291,0.157,0.7692,0.0669,0.2459,0.1435,0.7612,0.0207,0.3421,0.1593,0.7692,0.0836,0.25,8,26.4329,22.1086,0.6889,8.6419,4.428,0.8389,0.6254,70.1313,0.1466,0.9429,0.3404,0.6025,0.2652,30.0742,0.1009,0.4961,0.0789,0.4171,125.2658,43.3948,0.812,15.8747,10.6631,0.6903,0.3158,0.2211,0.953,0.0195,0.2699,0.1376,0.6579,0.0408,0.2121,0.1297,0.6935,0.0195,0.278,0.14,0.6579,0.0583,0.2265,22
Cell_200616_BC-SA2_V10F24-112_KT.C1-Spot000001.tif (1),bad95b48-74a8-4618-b99a-7d947a525d01,Cell,,Tumor,Annotation,Polygon,6231.0,2487.5,19.25,17.7546,0.7674,6.5736,4.8237,0.628,0.44,36.0815,0.0525,0.5865,0.2541,0.3324,0.2939,24.0995,0.0912,0.4511,0.0335,0.4176,144.75,45.0648,0.8957,16.8755,11.0438,0.7662,0.215,0.1646,0.6794,-0.017,0.202,0.1573,0.7092,-0.0649,0.1781,0.1463,0.6794,-0.017,0.1869,0.1608,0.7092,-0.0649,0.1333,29.2726,21.0263,0.8188,7.8947,5.1518,0.6799,0.5555,81.2728,0.0888,0.7472,0.3139,0.4333,0.3716,42.7012,0.0877,0.5405,0.1303,0.4102,154.894,47.6685,0.8583,17.2316,11.8531,0.7151,0.2666,0.212,0.9052,-0.0092,0.3436,0.1753,0.8323,0.0,0.1962,0.165,0.87,-0.0092,0.3382,0.1843,0.8323,0.0078,0.1724,3,36.2359,24.8017,0.7579,9.511,5.1885,0.7564,0.7602,142.2332,0.1504,1.0632,0.4153,0.6479,0.3361,42.4266,0.1054,0.5681,0.0681,0.5,160.6737,49.0993,0.8276,17.824,11.9417,0.7127,0.3735,0.2858,1.1522,0.0027,0.3661,0.1834,0.8517,-0.012,0.2526,0.1916,0.9665,0.0027,0.3778,0.1902,0.8517,0.0265,0.2061,13
Cell_200616_BC-SA2_V10F24-112_KT.C1-Spot000001.tif (1),3e2ce124-18af-4fda-be23-efd618d74f26,Cell,,Stroma,Annotation,Polygon,6265.8,2491.2,27.5,19.9826,0.8654,7.3032,5.0,0.7369,0.6076,70.4859,0.1298,0.9449,0.3258,0.6192,0.2319,26.9038,0.0924,0.4351,0.0761,0.359,143.75,44.5629,0.9096,15.9802,11.9586,0.6591,0.2481,0.2258,0.9449,-0.019,0.2269,0.2012,0.8294,0.0,0.1576,0.1373,0.6511,-0.019,0.2256,0.2203,0.8294,0.0,0.1925,23.9825,20.625,0.7188,7.8251,4.3411,0.8297,0.7355,72.3884,0.1737,1.1292,0.408,0.7212,0.3016,30.5126,0.1129,0.5552,0.0875,0.4677,111.6376,40.6157,0.8188,14.7441,10.2,0.6792,0.3698,0.2604,1.1316,0.0219,0.3164,0.1669,0.7843,0.0562,0.2446,0.151,0.8393,0.0219,0.3306,0.1721,0.7843,0.0775,0.2423,5,26.0309,21.6355,0.7032,8.3695,4.4701,0.8253,0.6516,72.7447,0.1525,0.9826,0.354,0.6287,0.2757,30.5839,0.1038,0.5116,0.0795,0.432,125.1675,43.228,0.819,15.7578,10.6996,0.6851,0.3255,0.2312,1.0033,0.0198,0.2832,0.1466,0.6908,0.0378,0.2188,0.1368,0.7449,0.0198,0.2924,0.15,0.6908,0.0569,0.2238,17
Cell_200616_BC-SA2_V10F24-112_KT.C1-Spot000001.tif (1),c064bf05-83fb-492b-bf94-8c3c9080f914,Cell,,Stroma,Annotation,Polygon,6284.2,2495.7,31.0,28.0994,0.4934,11.5586,4.8455,0.9431,0.4017,51.8241,0.0925,0.6107,0.2205,0.3902,0.2746,35.4283,0.1366,0.5609,0.0318,0.5291,169.5,54.3321,0.7216,21.8515,10.0155,0.9014,0.1647,0.1503,0.6107,-0.0129,0.156,0.1573,0.7179,0.0,0.1092,0.0982,0.5622,-0.0129,0.1283,0.1488,0.7179,0.0,0.184,25.8118,22.7603,0.6447,8.9456,4.3873,0.8677,0.6682,69.8326,0.1569,1.0183,0.378,0.6403,0.3156,34.1457,0.1195,0.5825,0.0857,0.4968,119.2743,43.2777,0.7686,16.1878,9.9621,0.7211,0.3545,0.2347,1.0189,0.0242,0.3089,0.1506,0.7438,0.0621,0.2368,0.1372,0.7822,0.0242,0.3189,0.149,0.7438,0.082,0.2483,8,27.5771,23.0467,0.6763,9.0198,4.5458,0.8382,0.6168,70.3575,0.1461,0.9368,0.3357,0.6011,0.2511,29.0425,0.0995,0.4825,0.0669,0.4156,126.7584,43.6901,0.808,16.0705,10.6414,0.6919,0.3144,0.2171,0.9423,0.0251,0.258,0.1312,0.6232,0.0359,0.211,0.1247,0.6695,0.0251,0.2667,0.1318,0.6232,0.0591,0.2346,28
Cell_200616_BC-SA2_V10F24-112_KT.C1-Spot000001.tif (1),71492e33-aca7-43aa-85c7-cc1874f71c76,Cell,,Tumor,Annotation,Polygon,6234.9,2497.4,40.25,23.6667,0.903,8.906,5.8054,0.7566,0.5519,88.8506,0.09,0.7457,0.3233,0.4223,0.4856,78.1889,0.0775,0.6449,0.2954,0.3495,163.75,50.2906,0.8136,16.8116,13.3295,0.6059,0.2839,0.2027,1.0868,0.0231,0.4533,0.1897,0.9254,0.066,0.1971,0.1447,1.0868,0.0231,0.4429,0.2127,0.9254,0.066,0.2381,37.6781,24.2921,0.8201,9.2262,5.5594,0.7212,0.6079,116.9649,0.1051,0.826,0.3327,0.4933,0.394,55.0234,0.0905,0.5818,0.1453,0.4366,169.8707,50.9354,0.8273,18.0277,12.6539,0.6894,0.2959,0.2328,1.0323,-0.0003,0.3727,0.1857,0.8714,-0.0087,0.2038,0.167,0.965,-0.0003,0.3684,0.2,0.8714,0.0059,0.2017,3,37.1951,25.3243,0.748,9.7117,5.2515,0.767,0.772,146.1542,0.1587,1.0934,0.4159,0.6775,0.323,42.0859,0.1079,0.5651,0.0558,0.5093,160.9425,49.2133,0.8227,17.8401,11.9582,0.7059,0.3794,0.2887,1.1755,0.0083,0.3518,0.1806,0.8303,-0.0179,0.2525,0.186,0.9568,0.0083,0.3641,0.1875,0.8303,0.0236,0.2148,15
Cell_200616_BC-SA2_V10F24-112_KT.C1-Spot000001.tif (1),e7b349d5-2e49-4bd5-8083-29fad5bad093,Cell,,Stroma,Annotation,Polygon,6214.9,2494.3,12.5,12.6058,0.9885,4.4291,3.6425,0.6022,0.6984,36.3149,0.1353,0.9125,0.4355,0.477,0.4956,25.7734,0.06,0.5977,0.3622,0.2355,97.5,36.4419,0.9226,13.7643,9.5,0.7114,0.2834,0.2774,0.9503,-0.0467,0.6886,0.1776,1.0502,0.2934,0.2203,0.236,0.9503,-0.0467,0.7179,0.1711,1.0502,0.2934,0.1209,42.1181,27.6654,0.7587,10.7368,5.2689,0.7435,0.9072,203.1107,0.1833,1.2403,0.4924,0.7479,0.3709,42.9819,0.1086,0.6188,0.066,0.5527,176.5262,52.1434,0.8156,19.3131,12.193,0.7478,0.4336,0.3535,1.2907,-0.0192,0.4843,0.2021,0.9741,0.0096,0.2893,0.2438,1.0919,-0.0192,0.5122,0.2044,0.9741,0.0625,0.1962,4,41.5108,27.1509,0.7284,10.445,5.3452,0.7778,0.923,190.2249,0.1838,1.2827,0.51,0.7727,0.3241,44.3788,0.1193,0.595,0.0183,0.5767,165.3739,49.9388,0.8152,18.171,12.0115,0.7233,0.4719,0.3439,1.3374,0.015,0.3905,0.1931,0.8831,-0.0338,0.3156,0.2249,1.0835,0.015,0.4141,0.1972,0.8831,0.0384,0.2248,10
Cell_200616_BC-SA2_V10F24-112_KT.C1-Spot000001.tif (1),b664c6a4-38f5-4732-9557-64059072b1b1,Cell,,Immune cells,Annotation,Polygon,6274.9,2497.3,20.0,17.5721,0.8139,6.5661,4.2514,0.7977,0.9721,81.6544,0.2208,1.4664,0.5963,0.8701,0.3921,32.9363,0.127,0.7008,0.1327,0.5681,47.0,28.0606,0.7501,10.6175,6.0205,0.7714,0.6747,0.337,1.4664,0.0949,0.4778,0.1597,0.849,0.1327,0.4455,0.2063,1.4107,0.0949,0.5438,0.1511,0.849,0.2073,0.417,23.9867,21.331,0.6807,8.1737,4.3383,0.8461,0.7354,71.0883,0.1765,1.1268,0.4103,0.7165,0.3112,31.2539,0.1178,0.5768,0.0847,0.4921,111.103,40.9432,0.7954,15.152,9.7728,0.7055,0.3826,0.2577,1.1271,0.0311,0.319,0.1555,0.7558,0.0633,0.2541,0.1483,0.8711,0.0311,0.3342,0.1558,0.7558,0.0893,0.2515,8,26.598,22.2922,0.689,8.6519,4.5282,0.8289,0.6433,71.3953,0.1535,0.9783,0.3488,0.6296,0.2612,29.127,0.1036,0.5009,0.0691,0.4318,125.4242,43.345,0.8143,15.8908,10.651,0.6862,0.3244,0.2265,0.9881,0.0249,0.2714,0.1395,0.6556,0.0365,0.2178,0.1305,0.7123,0.0249,0.2814,0.1409,0.6555,0.0597,0.2298,24
Cell_200616_BC-SA2_V10F24-112_KT.C1-Spot000001.tif (1),0c4a2183-53ed-4e9e-ad7a-f955bcecd9f8,Cell,,Stroma,Annotation,Polygon,6324.8,2501.6,15.75,20.1451,0.4877,8.9567,2.3243,0.9715,0.7062,48.0202,0.2077,1.0866,0.3467,0.7399,0.1486,10.1054,0.1068,0.3458,-0.0484,0.3942,41.0,27.3643,0.6881,10.96,5.438,0.8818,0.4417,0.2641,1.0866,0.1398,0.2308,0.1063,0.4218,-0.0484,0.2636,0.0934,0.5312,0.1398,0.2861,0.0604,0.4218,0.1523,0.3883,31.4853,25.4946,0.6296,10.3332,4.4118,0.8794,0.5561,71.3901,0.1288,0.8828,0.3125,0.5702,0.2195,31.1927,0.0718,0.3776,0.0453,0.3324,95.2521,38.2801,0.7723,14.3614,8.8712,0.7366,0.3342,0.1994,0.8828,0.0625,0.2476,0.0905,0.4772,0.03,0.2156,0.106,0.5037,0.0625,0.2686,0.0822,0.4772,0.1138,0.3409,10,35.2601,27.4311,0.6377,10.9506,4.8847,0.8577,0.5357,78.523,0.1183,0.8138,0.2959,0.5179,0.2235,32.2909,0.0699,0.3919,0.0695,0.3224,124.959,44.0338,0.7705,16.4741,10.0958,0.73,0.3027,0.1869,0.814,0.0494,0.2458,0.0923,0.4945,0.0478,0.1985,0.0989,0.4991,0.0494,0.2609,0.0884,0.4945,0.0957,0.2998,37
