cell_type,truth_mass,recovered_mass,composition_recovery,group,sample,method
Endothelial cells,364.14541415411924,255.9506315627682,0.7028802824753982,real_brca,real_brca7_candidate_stable_control,CytoSPACE
Epithelial cells,501.51577892603973,401.1522953127087,0.7998797090128404,real_brca,real_brca7_candidate_stable_control,CytoSPACE
NK cells,225.3342505793761,210.89925880936016,0.9359396464012866,real_brca,real_brca7_candidate_stable_control,CytoSPACE
PCs,650.9372159023021,374.3061994150333,0.5750265774805725,real_brca,real_brca7_candidate_stable_control,CytoSPACE
PVL,236.4833639790936,218.2157030008363,0.9227528707690733,real_brca,real_brca7_candidate_stable_control,CytoSPACE
T cells CD4,263.41157937365836,185.42611806381686,0.7039406487168264,real_brca,real_brca7_candidate_stable_control,CytoSPACE
T cells CD8,276.1723970854108,200.03341083823113,0.7243063135537312,real_brca,real_brca7_candidate_stable_control,CytoSPACE
Endothelial cells,364.14541415411924,255.9506315627682,0.7028802824753982,real_brca,real_brca7_candidate_stable_control,SVTuner + CytoSPACE
Epithelial cells,501.51577892603973,401.1522953127087,0.7998797090128404,real_brca,real_brca7_candidate_stable_control,SVTuner + CytoSPACE
NK cells,225.3342505793761,210.89925880936016,0.9359396464012866,real_brca,real_brca7_candidate_stable_control,SVTuner + CytoSPACE
PCs,650.9372159023021,374.3061994150333,0.5750265774805725,real_brca,real_brca7_candidate_stable_control,SVTuner + CytoSPACE
PVL,236.4833639790936,218.2157030008363,0.9227528707690733,real_brca,real_brca7_candidate_stable_control,SVTuner + CytoSPACE
T cells CD4,263.41157937365836,185.42611806381686,0.7039406487168264,real_brca,real_brca7_candidate_stable_control,SVTuner + CytoSPACE
T cells CD8,276.1723970854108,200.03341083823113,0.7243063135537312,real_brca,real_brca7_candidate_stable_control,SVTuner + CytoSPACE
Endothelial cells,364.14541415411924,203.8392629798181,0.5597743512802995,real_brca,real_brca7_candidate_stable_control,"Tangram
(all genes)"
Epithelial cells,501.5157789260398,338.14132848386623,0.6742386634533648,real_brca,real_brca7_candidate_stable_control,"Tangram
(all genes)"
NK cells,225.33425057937606,162.78258632018253,0.7224049868213038,real_brca,real_brca7_candidate_stable_control,"Tangram
(all genes)"
PCs,650.9372159023021,396.29460771682164,0.6088061921110081,real_brca,real_brca7_candidate_stable_control,"Tangram
(all genes)"
PVL,236.48336397909367,159.43003499464885,0.6741701924061909,real_brca,real_brca7_candidate_stable_control,"Tangram
(all genes)"
T cells CD4,263.41157937365836,172.89716928474238,0.6563764952773082,real_brca,real_brca7_candidate_stable_control,"Tangram
(all genes)"
T cells CD8,276.1723970854108,166.36505916715888,0.6023956808243504,real_brca,real_brca7_candidate_stable_control,"Tangram
(all genes)"
Endothelial cells,364.14541415411924,211.14768271593118,0.5798444097021253,real_brca,real_brca7_candidate_stable_control,"Tangram
(marker genes)"
Epithelial cells,501.5157789260398,393.0031841996713,0.7836307464567905,real_brca,real_brca7_candidate_stable_control,"Tangram
(marker genes)"
NK cells,225.33425057937606,170.25928326548282,0.7555854595016722,real_brca,real_brca7_candidate_stable_control,"Tangram
(marker genes)"
PCs,650.9372159023021,427.4373841747482,0.656649172504682,real_brca,real_brca7_candidate_stable_control,"Tangram
(marker genes)"
PVL,236.48336397909367,168.92206542114866,0.7143084510421723,real_brca,real_brca7_candidate_stable_control,"Tangram
(marker genes)"
T cells CD4,263.41157937365836,169.96135096513535,0.6452311298131634,real_brca,real_brca7_candidate_stable_control,"Tangram
(marker genes)"
T cells CD8,276.1723970854108,173.86475284599135,0.6295515217337989,real_brca,real_brca7_candidate_stable_control,"Tangram
(marker genes)"
Endothelial cells,364.14541415411924,259.3025337111624,0.712085127622715,real_brca,real_brca7_candidate_stable_control,novoSpaRc
Epithelial cells,501.5157789260398,397.51144767683434,0.7926200219025545,real_brca,real_brca7_candidate_stable_control,novoSpaRc
NK cells,225.33425057937606,200.0910591123884,0.8879744583786853,real_brca,real_brca7_candidate_stable_control,novoSpaRc
PCs,650.9372159023021,394.21015584526265,0.6056039602818298,real_brca,real_brca7_candidate_stable_control,novoSpaRc
PVL,236.48336397909367,220.02623642483542,0.9304089417650827,real_brca,real_brca7_candidate_stable_control,novoSpaRc
T cells CD4,263.41157937365836,189.14259784120867,0.7180496707508193,real_brca,real_brca7_candidate_stable_control,novoSpaRc
T cells CD8,276.1723970854108,195.4798207233544,0.7078180976316003,real_brca,real_brca7_candidate_stable_control,novoSpaRc
Endothelial cells,364.14541415411924,187.68543173456436,0.5154134157381678,real_brca,real_brca7_candidate_stable_control,SpaOTsc
Epithelial cells,501.5157789260398,329.24507314895396,0.6564999287839134,real_brca,real_brca7_candidate_stable_control,SpaOTsc
NK cells,225.33425057937606,96.80125082860016,0.4295896011356739,real_brca,real_brca7_candidate_stable_control,SpaOTsc
PCs,650.9372159023021,258.8437796453961,0.3976478427133677,real_brca,real_brca7_candidate_stable_control,SpaOTsc
PVL,236.48336397909367,159.09238212784388,0.672742384288429,real_brca,real_brca7_candidate_stable_control,SpaOTsc
T cells CD4,263.41157937365836,107.3295768148167,0.4074596001816838,real_brca,real_brca7_candidate_stable_control,SpaOTsc
T cells CD8,276.1723970854108,106.67479593830606,0.38626161435429457,real_brca,real_brca7_candidate_stable_control,SpaOTsc
Endothelial cells,364.14541415411924,346.9914552156087,0.9528925581052344,real_brca,real_brca7_candidate_stable_control,CellTrek
Epithelial cells,501.5157789260398,246.727488959011,0.4919635619189496,real_brca,real_brca7_candidate_stable_control,CellTrek
NK cells,225.33425057937606,120.08654862349894,0.5329263008829515,real_brca,real_brca7_candidate_stable_control,CellTrek
PCs,650.9372159023021,529.122038329545,0.8128618634841734,real_brca,real_brca7_candidate_stable_control,CellTrek
PVL,236.48336397909367,163.6324909930703,0.6919408124096892,real_brca,real_brca7_candidate_stable_control,CellTrek
T cells CD4,263.41157937365836,184.91168492561823,0.701987685451423,real_brca,real_brca7_candidate_stable_control,CellTrek
T cells CD8,276.1723970854108,156.30702677688885,0.5659762830263894,real_brca,real_brca7_candidate_stable_control,CellTrek
Endothelial cells,364.14541415113075,250.23659004242757,0.6871886348637971,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,CytoSPACE
NK cells,225.3342505847074,215.7036245733177,0.9572607094287721,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,CytoSPACE
PCs,650.9372159077486,377.44382837043156,0.5798467488820354,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,CytoSPACE
PVL,737.9991429168356,279.39028892136395,0.3785780669298801,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,CytoSPACE
T cells CD4,263.41157937368104,184.8452658924627,0.7017355361976606,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,CytoSPACE
T cells CD8,276.17239706589675,196.92279382674081,0.7130429974859276,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,CytoSPACE
Endothelial cells,364.1454141511308,294.02772418739744,0.8074459069402629,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,SVTuner + CytoSPACE
NK cells,225.3342505847074,212.73701538302274,0.9440953376195728,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,SVTuner + CytoSPACE
PCs,650.9372159077486,426.4469187792673,0.6551275735319206,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,SVTuner + CytoSPACE
PVL,737.9991429168356,332.3788453681327,0.4503783623033126,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,SVTuner + CytoSPACE
T cells CD4,263.41157937368104,189.0455965940412,0.7176814210048726,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,SVTuner + CytoSPACE
T cells CD8,276.1723970658967,206.19380829163902,0.7466126610851689,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,SVTuner + CytoSPACE
Endothelial cells,364.14541415113075,182.07497904205576,0.5000062391736985,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,"Tangram
(all genes)"
NK cells,225.3342505847074,150.7560731490292,0.6690331041900669,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,"Tangram
(all genes)"
PCs,650.9372159077486,374.95537310366797,0.5760238682632135,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,"Tangram
(all genes)"
PVL,737.9991429168356,266.4898991723679,0.3610978437171416,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,"Tangram
(all genes)"
T cells CD4,263.4115793736811,155.78939421587842,0.5914295589673846,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,"Tangram
(all genes)"
T cells CD8,276.1723970658967,154.7099456644703,0.560193369461016,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,"Tangram
(all genes)"
Endothelial cells,364.14541415113075,189.3169517888107,0.5198938238179728,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,"Tangram
(marker genes)"
NK cells,225.3342505847074,154.15423890641205,0.6841136600690118,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,"Tangram
(marker genes)"
PCs,650.9372159077486,382.6620367537708,0.5878632030896233,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,"Tangram
(marker genes)"
PVL,737.9991429168356,281.4708866451861,0.38139730831219243,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,"Tangram
(marker genes)"
T cells CD4,263.4115793736811,147.3804910643418,0.5595065008712651,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,"Tangram
(marker genes)"
T cells CD8,276.1723970658967,158.58471220071885,0.5742236149794486,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,"Tangram
(marker genes)"
Endothelial cells,364.14541415113075,251.7837131755291,0.6914372758543972,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,novoSpaRc
NK cells,225.3342505847074,200.7490562773494,0.89089455223268,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,novoSpaRc
PCs,650.9372159077486,394.0022975992573,0.605284638780118,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,novoSpaRc
PVL,737.9991429168356,279.47140280056504,0.3786879774629473,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,novoSpaRc
T cells CD4,263.4115793736811,190.69362004797122,0.7239378788942658,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,novoSpaRc
T cells CD8,276.1723970658967,198.78751044486404,0.7197949996336235,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,novoSpaRc
Endothelial cells,364.14541415113075,157.69159932247834,0.43304568228623036,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,SpaOTsc
NK cells,225.3342505847074,93.63302898671458,0.41552950225609914,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,SpaOTsc
PCs,650.9372159077486,247.0001263700678,0.37945307217627705,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,SpaOTsc
PVL,737.9991429168356,254.74993098021847,0.34519000926390775,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,SpaOTsc
T cells CD4,263.4115793736811,104.01821204244663,0.394888532576179,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,SpaOTsc
T cells CD8,276.1723970658967,103.15115694538343,0.37350277595182996,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,SpaOTsc
Endothelial cells,364.14541415113075,290.26609263808825,0.7971158810683787,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,CellTrek
NK cells,225.3342505847074,118.47996006945277,0.5257964990320632,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,CellTrek
PCs,650.9372159077486,462.4638549836801,0.7104584646289772,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,CellTrek
PVL,737.9991429168356,373.97146030435766,0.5067369845800758,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,CellTrek
T cells CD4,263.4115793736811,230.76540305511054,0.8760640044898785,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,CellTrek
T cells CD8,276.1723970658967,187.28770853364065,0.6781550601125155,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,CellTrek
Endothelial cells,364.14541416473975,249.46672299992804,0.6850744600811286,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,CytoSPACE
NK cells,225.33425058574704,210.3275706243097,0.9334025789580229,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,CytoSPACE
PVL,1388.9363588051426,279.4188351624432,0.2011746855002185,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,CytoSPACE
T cells CD4,263.41157937133875,197.0614899666445,0.7481124802370261,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,CytoSPACE
T cells CD8,276.1723970730318,211.065269929393,0.7642518664657798,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,CytoSPACE
Endothelial cells,364.1454141647398,341.1330393345365,0.9368044359888807,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,SVTuner + CytoSPACE
NK cells,225.33425058574704,210.15620567499326,0.9326420867165152,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,SVTuner + CytoSPACE
PVL,1388.9363588051426,408.4254084226924,0.2940562437101493,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,SVTuner + CytoSPACE
T cells CD4,263.41157937133875,185.97053833884382,0.7060074533651229,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,SVTuner + CytoSPACE
T cells CD8,276.1723970730318,212.96932469872237,0.7711463091744255,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,SVTuner + CytoSPACE
Endothelial cells,364.1454141647398,155.97533242830096,0.42833254617820765,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,"Tangram
(all genes)"
NK cells,225.33425058574704,152.97791346001335,0.6788933021160947,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,"Tangram
(all genes)"
PVL,1388.9363588051424,292.7100777908922,0.21074405312760433,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,"Tangram
(all genes)"
T cells CD4,263.41157937133875,155.38098849226165,0.589879111856418,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,"Tangram
(all genes)"
T cells CD8,276.1723970730318,159.98626619967058,0.5792985392286086,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,"Tangram
(all genes)"
Endothelial cells,364.1454141647398,154.74654617559997,0.4249581078222571,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,"Tangram
(marker genes)"
NK cells,225.33425058574704,152.9803095417646,0.6789039355717057,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,"Tangram
(marker genes)"
PVL,1388.9363588051424,300.49536533812454,0.2163492685846536,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,"Tangram
(marker genes)"
T cells CD4,263.41157937133875,149.18339871587975,0.5663509518902801,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,"Tangram
(marker genes)"
T cells CD8,276.1723970730318,156.23956608768842,0.5657320128425869,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,"Tangram
(marker genes)"
Endothelial cells,364.1454141647398,245.18512621290967,0.6733165287150579,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,novoSpaRc
NK cells,225.33425058574704,197.7699018570926,0.8776735065485959,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,novoSpaRc
PVL,1388.9363588051424,279.5031864416376,0.20123541634555903,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,novoSpaRc
T cells CD4,263.41157937133875,191.05889163050162,0.7253245741378761,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,novoSpaRc
T cells CD8,276.1723970730318,197.0322201793315,0.7134392222667632,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,novoSpaRc
Endothelial cells,364.1454141647398,148.6436388296338,0.4081985741069562,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,SpaOTsc
NK cells,225.33425058574704,101.55805863565169,0.4506996090104178,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,SpaOTsc
PVL,1388.9363588051424,296.84444912916797,0.21372069875435745,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,SpaOTsc
T cells CD4,263.41157937133875,112.5741365797192,0.42736973389093214,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,SpaOTsc
T cells CD8,276.1723970730318,111.65294495419842,0.4042871269451038,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,SpaOTsc
Endothelial cells,364.1454141647398,341.4655286401364,0.9377175033863177,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,CellTrek
NK cells,225.33425058574704,152.9492226076594,0.6787659763665499,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,CellTrek
PVL,1388.9363588051424,205.46275017403389,0.14792812418762435,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,CellTrek
T cells CD4,263.41157937133875,168.63647271482986,0.6402014410957169,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,CellTrek
T cells CD8,276.1723970730318,156.3063172910505,0.5659737140555594,real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,CellTrek
AT2,808.242820077699,462.21353862709964,0.5718745990006636,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,CytoSPACE
B_cell,381.77038989053176,145.08330582393853,0.3800276544902801,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,CytoSPACE
Ciliated,44.62633872208186,20.674167082656076,0.46327275942147034,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,CytoSPACE
DC,172.5689823711981,64.9000119658113,0.3760815592353123,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,CytoSPACE
Endothelia_vascular,326.64062081756106,313.4268540143446,0.9595464680107966,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,CytoSPACE
Erythrocyte,53.85757584802272,16.234523812877278,0.3014343582542306,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,CytoSPACE
Fibroblast,415.36011077454845,405.4908220758296,0.9762391995699468,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,CytoSPACE
Macrophage_alveolar,646.3900131639564,486.0611177470533,0.7519626043847373,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,CytoSPACE
Mast_cell,424.5431483344009,111.74674275660244,0.26321645560649265,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,CytoSPACE
AT2,808.242820077699,462.21353862709964,0.5718745990006636,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,SVTuner + CytoSPACE
B_cell,381.77038989053176,145.08330582393853,0.3800276544902801,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,SVTuner + CytoSPACE
Ciliated,44.62633872208186,20.674167082656076,0.46327275942147034,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,SVTuner + CytoSPACE
DC,172.5689823711981,64.9000119658113,0.3760815592353123,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,SVTuner + CytoSPACE
Endothelia_vascular,326.64062081756106,313.4268540143446,0.9595464680107966,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,SVTuner + CytoSPACE
Erythrocyte,53.85757584802272,16.234523812877278,0.3014343582542306,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,SVTuner + CytoSPACE
Fibroblast,415.36011077454845,405.4908220758296,0.9762391995699468,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,SVTuner + CytoSPACE
Macrophage_alveolar,646.3900131639564,486.0611177470533,0.7519626043847373,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,SVTuner + CytoSPACE
Mast_cell,424.5431483344009,111.74674275660244,0.26321645560649265,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,SVTuner + CytoSPACE
AT2,808.2428200776988,602.6027719313679,0.7455714507596095,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,"Tangram
(all genes)"
B_cell,381.77038989053176,153.2058906962913,0.4013037541759625,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,"Tangram
(all genes)"
Ciliated,44.62633872208187,26.86903906180346,0.6020892556105707,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,"Tangram
(all genes)"
DC,172.56898237119813,63.11960378669094,0.3657644781778909,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,"Tangram
(all genes)"
Endothelia_vascular,326.64062081756106,315.1341195368551,0.9647732077783042,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,"Tangram
(all genes)"
Erythrocyte,53.85757584802272,43.92307367301514,0.8155412303917814,human_lung_5loc,human_lung_5loc_fine9_clustered_sim,"Tangram
(all genes)"
